序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-16 09:00,2017年中央财政专项-公共服务体系建设项目“网络基础平台建设智慧校园深化建设”,青海省公共资源交易中心二楼【青海省西宁市西川南路53号】,青海师范大学
2,2018-01-16 09:00,青海省人民医院物理康复科医疗设备采购,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,青海省人民医院
3,2018-01-16 09:00,青海卫生职业技术学院设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海卫生职业技术学院
4,2018-01-16 09:00,青海省地方病预防控制所包虫病信息化管理平台软件采购项目,投标地址：青海省政府采购电子化平台;开标地点：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省地方病预防控制所
5,2018-01-16 09:00,青海大学附属医院教学管理与考核系统建设项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海大学附属医院
6,2018-01-16 09:00,海西州人力资源与社会保障局业务车采购项目(第二次),海西州行政服务和公共资源交易中心四楼（3号询价谈判室）,海西州人力资源与社会保障局 
7,2018-01-16 09:30,玉树藏族自治州人民医院CT机采购项目,青海省西宁市城北区柴达木路68号金座雅园一期1号楼5单元5111室,玉树藏族自治州人民医院
8,2018-01-16 09:30,民和县国开行扶持贫困村基础设施建设贷款项目,青海诚德招标代理有限公司开标室地址：西宁市五四西路61号新华联国际中心3号公寓楼17楼,民和县教育局
9,2018-01-16 09:30,青海省疾病预防控制中心扩大国家免疫规划项目采购（第二次）,青海省人民政府行政服务和公共资源交易中心二楼1号开标室,青海省疾病预防控制中心
10,2018-01-16 09:30,德令哈市农村牧区智能交通系统及视频监控深化应用系统项目监理 ,海西州行政服务和公共资源交易中心四楼三号开标室 ,德令哈市公安局 
11,2018-01-16 09:30,大柴旦行委审计咨询库入库项目,青海云笙工程咨询有限公司（青海省西宁市城西区昆仑路35号1号楼2单元2141室）,大柴旦行委
12,2018-01-16 09:30,大通县人民医院数字化医院信息系统实施服务及数据库使用授权许可项目,西宁市城北区海湖桥北（湟水花园西门对面）西宁市公共资源交易中心二楼,大通回族土族自治县人民医院
13,2018-01-16 09:30,大通犇海园生态牧场建设项目一期（土建工程）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）（湟水花园西门对面）,大通县海园奶牛养殖专业合作社
14,2018-01-16 09:30,门源县中医院全自动化化学发光一体机采购项目(第二次),青海省人民政府行政服务和公共资源交易中心2楼4号开标厅 地址：青海省西宁市西川南路53号,门源县中医院
15,2018-01-16 09:30,湟中县设施农业水利配套工程项目,西宁市公共资源交易中心二楼开标室,湟中县农牧和扶贫开发科技局
