序号,开标时间,项目名称,开标地点,采购单位
1,2018-02-07 09:00,青海省公安厅经侦总队执法办案中心及配套设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省公安厅
2,2018-02-07 09:00,青海省海东市乐都区洪水镇2017年农业综合开发大果樱桃标准化示范基地建设项目,青海省西宁市城西区昆仑1号3单元351室,海东市乐都区林业局
3,2018-02-07 09:00,青海卫生职业技术学院设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海卫生职业技术学院
4,2018-02-07 09:00,青海省昆仑音像出版社民文数字化出版软硬件设备采购项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省文化和新闻出版厅
5,2018-02-07 09:00,青海省昆仑音像出版社民文数字化出版软硬件设备采购项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省文化和新闻出版厅
6,2018-02-07 09:00,青海祁连山生态保护与建设综合治理工程2017年度祁连县草食畜牧业发展建设项目第二次,青海省行政服务和公共资源交易中心二楼,祁连县农牧水利和科技局
7,2018-02-07 09:30,2017年农村义务教育薄弱学校改造计划（第三批）教育技术装备中小学各科教学设备（二）采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
8,2018-02-07 09:30,义务教育薄弱学校改造计划专项设备采购项目(二次),青海开盛招标有限公司（西宁市城西区冷湖路27号宁景苑13楼西侧1308室）,玉树藏族自治州教育局
9,2018-02-07 09:30,鸡粪有机肥加工科技推广示范项目（土建工程）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）（湟水花园西门对面）,大通海兰农业开发有限公司
10,2018-02-07 09:30,南山办综合督导站管网维修材料及所辖泵站水泵配件等材料等,西宁市公共资源交易中心二楼,西宁市南山绿化指挥部
11,2018-02-07 09:30,南山办综合督导站维修土建项目,西宁市公共资源交易中心二楼,西宁市南山绿化指挥部
12,2018-02-07 09:30,大通县石山乡杂户等村道路照明工程,西宁市公共资源交易中心2楼（西宁市城西区海湖桥北金座维尼谷）,大通回族土族自治县石山乡人民政府
13,2018-02-07 09:30,海西州人民医院电梯维护保养采购项目,海西州行政服务和公共资源交易中心四楼3号询价竟谈室,海西州人民医院
14,2018-02-07 09:30,城中区南川西路小学笔记本电脑采购项目,城中区东大街22号三楼,南川西路小学
15,2018-02-07 09:30,城西区垂直压缩式垃圾中转站建设项目监理,西宁市公共资源交易中心二楼（地址：西宁市城西区海西西路25号海湖桥西侧）,西宁市城西区市政公用服务中心
16,2018-02-07 09:30,海西州人民医院电梯维护保养采购项目,海西州行政服务和公共资源交易中心四楼3号询价竟谈室,海西州人民医院
17,2018-02-07 09:30,互助县2017年农牧业生产救灾补贴资金项目,青海省公共资源交易中心2楼5号开标室（西宁市西川南路53号文博大厦）,互助土族自治县草原站
18,2018-02-07 09:30,互助县2017年饲草基地建设项目,青海省公共资源交易中心2楼5号开标室（西宁市西川南路53号文博大厦）,互助土族自治县草原站
19,2018-02-07 09:30,互助县2017年草原奖补绩效奖励资金高标准饲草基地项目种子和化肥,青海省公共资源交易中心2楼5号开标室（西宁市西川南路53号文博大厦）,互助土族自治县草原站
20,2018-02-07 09:30,刚察县人民医院CT采购项目,青海省公共资源交易中心二楼,刚察县人民医院
21,2018-02-07 10:00,阅读环境优化提升项目,青海省公共资源交易中心（西宁市西川南路53号）2楼4号开标室,玉树藏族自治州图书馆
22,2018-02-07 10:00,大通县2017年农村饮水安全巩固提升工程43村人畜饮水工程 水厂部分电气设备及安装（第二次）,青海省人民政府行政服务和公共资源交易中心二楼(青海省西宁市西川南路53号),大通回族土族自治县水利工程建设管理局
23,2018-02-07 10:30,兴海县人民医院医用电梯采购项目 ,青海省西宁市城西区西川南路53号文博大厦二楼开标室（青海省人民政府行政服务和公共资源交易中心）,兴海县人民医院
24,2018-02-07 10:30,青海祁连山生态保护与建设综合治理工程2017年度祁连县草食畜牧业发展建设项目第二次,青海省行政服务和公共资源交易中心二楼,祁连县农牧水利和科技局
25,2018-02-07 14:30,中央引导地方科技发展专项资金采购项目,青海省公共资源交易中心2楼 6号开标室（青海省西宁市西川南路53号）,青海大学
26,2018-02-07 14:30,大通录明养殖专业合作社蛋鸡标准化高效养殖技术示范推广项目（土建工程）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）（湟水花园西门对面）,大通录明养殖专业合作社
27,2018-02-07 14:30,玉树州职业技术学校设备购置项目,青海开盛招标有限公司（西宁市城西区冷湖路27号宁景苑13楼1308室）,玉树州职业技术学校
28,2018-02-07 14:30,玉树州职业技术学校设备购置项目,青海开盛招标有限公司（西宁市城西区冷湖路27号宁景苑13楼1308室）,玉树州职业技术学校
29,2018-02-07 14:30,2017年有机红果枸杞标准化示范基地建设及标准制定项目（重新招标）,青海省公共资源交易中心二楼开标室（西川南路53号）,青海省林业厅
30,2018-02-07 14:30,青海省公路路政执法总队民和高速大队办公家具采购项目（二次）,青海省政府采购中心电子化平台,青海省公路路政执法总队
31,2018-02-07 14:30,青海省食品药品监督所12331平台网络安全监管项目（三次）,青海省政府采购中心电子化平台,青海省食品药品监督所
32,2018-02-07 14:30,青海省公路路政执法总队共玉高速沿线9个站点办公家具采购项目（二次）,青海省政府采购中心电子化平台,青海省公路路政执法总队
33,2018-02-07 14:40,长江源（可可西里）园区国家公园管理委员会办公设备采购项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,长江源（可可西里）园区国家公园管理委员会
34,2018-02-07 14:40,黄河园区国家公园管理委员会执法装备采购项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,黄河园区国家公园管理委员会
35,2018-02-07 15:00,青海省海东市乐都区洪水镇2017年农业综合开发大果樱桃标准化示范基地建设项目接穗采购,青海省西宁市城西区昆仑1号3单元351室开标室,海东市乐都区林业局
36,2018-02-07 15:00,湟中县农牧和扶贫开发科技局蔬菜绿色高产高效创建示范县（购置黄蓝板项目）,西宁市海西路26-107号西宁市公共资源交易中心二楼,湟中县农牧和扶贫开发科技局
37,2018-02-07 15:00,海西州人民医院消防设施维护保养采购项目,海西州行政服务和公共资源交易中心四楼3号询价竟谈室,海西州人民医院
38,2018-02-07 15:00,海西州德农农牧有限公司春小麦、青稞良种繁育基地建设项目—原种引进采购项目,德令哈市河东区固始汗文化街金陵德勒大酒店五楼,海西州德农农牧有限公司
39,2018-02-07 15:00,湟中县农牧和扶贫开发科技局蔬菜绿色高产高效创建示范县（购置酵素有机肥项目）,西宁市海西路26-107号西宁市公共资源交易中心二楼,湟中县农牧和扶贫开发科技局
40,2018-02-07 15:00,贵德县2011年郭拉片区廉租房配套设施项目,海南州行政服务和公共资源交易中心,贵德县住房和城乡建设局
41,2018-02-07 15:00,青海省第一次地理国情普查成果图编制采购项目,四川国际招标有限责任公司青海分公司（西宁市城西区东交通巷1号银泰大厦4楼）,青海省基础地理信息中心
