序号,开标时间,项目名称,开标地点,采购单位
1,2018-03-16 09:00,2017年刚察县畜牧兽医工作站动物疫情监测与防治项目 （第二次）,刚察县政府电子化采购平台www.gcxzfcg.gov.cn ,刚察县畜牧兽医工作站
2,2018-03-16 09:00,青海省体育局2017信息设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海省体育局
3,2018-03-16 09:30,互助县残疾人非农项目培训（家政）,互助县政府采购中心,互助县残疾人联合会
4,2018-03-16 09:30,互助县2017年林业改革发展资金（天保公益林国有林场大苗造林造林项目）第二次,青海省西宁市西川南路53号（青海省人民政府行政服务和公共资源交易中心二楼开标室）,互助土族自治县林业局
5,2018-03-16 09:30,10KV配电室工程设备项目,青海省公共资源交易中心二楼,民和县第二人民医院
6,2018-03-16 09:30,湟中县2017年林业改革发展资金造林、南北山三期绿化、重点防护林、天然林资源保护工程二期2017年中央预算内投资造林项目（三标段）,西宁市海西路26-107号西宁市公共资源交易中心二楼（开标室在大屏处查看）,湟中县林业局
7,2018-03-16 09:30,大通县天保工程二期2017年中央预算内投资项目人工造林,西宁市海西路26-107号西宁市公共资源交易中心二楼,大通回族土族自治县林业局
8,2018-03-16 09:30,青海消防总队2017年度第三次装备采购项目（第二次）,青海省公共资源交易中心2楼开标厅，具体开标厅编号详见开标当日液晶显示屏提示信息。,青海省公安消防总队
9,2018-03-16 09:30,青海省交通职业技术学院焊接技术与自动化专业采购项目（包一）,青海省人民政府行政服务和公共资源交易中心二楼6号开标室；地址：青海省西宁市西川南路53号文博大厦,青海省交通职业技术学院
10,2018-03-16 09:30,贵南县第二寄宿制小学2018年教学和后勤用品采购项目 ,青海省人民政府行政服务和公共资源交易中心（青海省西宁市城西区西川南路53号）,贵南县第二寄宿制小学
11,2018-03-16 09:30,大通县地方税务局正版化软件项目,大通县财政局三楼会议室,大通县地方税务局
12,2018-03-16 10:00,化隆县2017年第二批学前教育建设项目,青海省海东市平安县平安大道206号6楼交易中心,化隆县教育局
13,2018-03-16 10:30,2017年贵德县农民专业合作社规范化建设项目第二次,青海省西宁市城西区西关大街19号海一大厦6楼开标大厅,贵德县农牧林业和环境保护局
14,2018-03-16 15:00,海南州云藏孵化基地室内外装潢设计,海南州共和县城北新区政和大街海南州公共交易中心三楼,海南藏族自治州藏语文工作委员会
15,2018-03-16 15:00,城东区地方税务局正版化软件采购,西宁市城东区政府大楼5楼514室,城东区地方税务局
16,2018-03-16 15:00,贵德县人民医院整体搬迁装修设备购置,海南州行政服务和公共资源交易中心,贵德县人民医院
17,2018-03-16 15:00,2017年刚察县基层兽医站冷链建设项目,青海省公共资源交易中心二楼开标厅（青海省西宁市西川南路53号）,刚察县畜牧兽医工作站
18,2018-03-16 15:00,贵德县春覆膜栽培技术推广项目,海南州共和县城北新区政和大街海南州公共交易中心2号开标室,贵德县农业技术推广中心
19,2018-03-16 15:30,民和县松树乡牙合村村级综合办公服务中心,青海省公共资源交易中心2楼.3号开标室,民和县扶贫开发局
20,2018-03-16 17:00,同德县9个基层健身器材场地维修维护采购项目 ,青海省人民政府行政服务和公共资源交易中心,同德县教育文化体育广播电视局
