序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-18 09:00,青海省人口宏观与决策分析系统采购项目,青海省政府采购中心(西宁市城西区黄河路30号),青海省卫生信息中心
2,2018-01-18 09:00,青海大学2017年中央支持地方高校改革发展专项采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海大学
3,2018-01-18 09:00,祁连县野牛沟乡人民政府2017年农牧业发展项目补助资金祁连县野牛沟乡有机畜牧业产业化发展建设采购项目,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,祁连县野牛沟乡人民政府
4,2018-01-18 09:30,化学工程系优势特色专业实训设备采购项目,青海诚德招标代理有限公司开标室地址：西宁市五四西路61号新华联国际中心3号公寓楼17楼,青海柴达木职业技术学院
5,2018-01-18 09:30,2017年城东区市政工程维修及安全防护工程,西宁市公共资源交易中心二楼,西宁市城东区建设局
6,2018-01-18 09:30,海北州中藏医康复中心第一批医疗设备采购项目,海北州行政服务和公共资源交易中心,海晏县卫生和计划生育局
7,2018-01-18 09:30,增补城西区区属行政事业单位会议及培训场所定点服务,西宁市城西区同仁路12号（原西宁市委党校）西楼1楼城西区政府采购评审室。,西宁市城西区财政局
8,2018-01-18 09:30,格尔木市纪委监委体制改革办公物品采购项目（包1设备采购）二次,格尔木市行政服务和公共资源交易中心3号开标厅（格尔木市泰山路21号盐湖办事大厅4楼开标大厅）,中国共产党格尔木市纪律检查委员会
9,2018-01-18 09:30,玉树州人民医院核磁维保项目(第二次),青海省西宁市城北区柴达木路68号金座雅园一期1号楼5单元5111室,玉树藏族自治州人民医院
10,2018-01-18 09:30,玉树州第四民族高级中学采购项目,青海开盛招标有限公司（青海省西宁市西川南路53号西宁市城西区冷湖路27号宁景苑13楼西侧1308室）,玉树州第四民族高级中学
11,2018-01-18 09:30,市政公用服务中心压缩式垃圾中转站建设项目,西宁市公共资源交易中心二楼（地址：西宁市城西区海西西路25号海湖桥西侧）,西宁市城西区市政公用服务中心
12,2018-01-18 10:00,祁连县政府办公室办公设备采购项目 ,青海省西宁市城西区西川南路53号文博大厦二楼开标室（青海省人民政府行政服务和公共资源交易中心）,祁连县人民政府办公室
13,2018-01-18 10:00,2017年度冬季八乡一镇寄校燃煤采购,青海省公共资源交易中心二楼2号开标室,班玛县教育局
14,2018-01-18 10:00,靖祥、广益露地蔬菜标准化生产基地建设项目,青海省西宁市城西区西川南路53号文博大厦二楼（青海省人民政府行政服务和公共资源交易中心）,湟中县农牧和扶贫开发科技局
15,2018-01-18 10:00,青海警官职业学院模拟监舍及教学资源建设设备采购项目,青海省机电设备招标中心（青海省西宁市青海生物科技产业园经四路26号）,青海警官职业学院
16,2018-01-18 10:00,海北州青海湖农场母猪繁育产床项目,海北州财政局五楼（海北州政府采购中心）,海北州青海湖农场 
17,2018-01-18 10:00,大柴旦校园视频监控系统采购,海西州行政服务和公共资源交易中心四楼开标室,大柴旦行政委员会社会发展局
18,2018-01-18 13:30,海东市气象为农服务综合业务平台建设,青海省行政服务和公共资源交易中心,海东市气象局
19,2018-01-18 14:30,青海海东高原现代农业富硒产业园建设省级补助项目（新品种、新技术试验示范）,中科高盛咨询集团有限公司青海分公司开标室（青海省西宁市城西区可可西里俱乐部2单元2705室）,海东市农业发展委员会
20,2018-01-18 14:30,海西州2017年度农村环境综合整治项目生活垃圾收集设备,青海省行政服务和公共资源交易中心8号开标室,海西蒙古族藏族自治州环境保护局
21,2018-01-18 14:30,房屋出租采购项目,西川南路76号万达中心1号写字楼5楼10508室,海东市乐都区瑞丰投资有限公司
22,2018-01-18 14:30,2017年奶牛标准化规模养殖场建设项目明福养殖专业合作社 ,海东市公共资源交易中心地址：海东市平安区平安大道206,民和回族土族自治县农牧局
23,2018-01-18 14:40,青海省公路路政执法总队车辆采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省公路路政执法总队
24,2018-01-18 14:40,青海省体育局2017信息设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海省体育局
25,2018-01-18 15:00,设施蔬菜标准园创建项目,海西州公共资源交易中心四楼竞谈室三,德令哈万庄农牧有限公司
