序号,开标时间,项目名称,开标地点,采购单位
1,2018-02-01 09:00,青海省民政厅民政综合业务大平台采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省民政厅
2,2018-02-01 09:00,2017年第二批林业改革发展资金青海省祁连山自然保护区林业国家级自然保护区补助经费项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省祁连山自然保护区管理局
3,2018-02-01 09:00,海西州州级相关单位办公家具采购项目,海西州行政服务和公共资源交易中心四楼2号开标室。,海西州州级相关单位
4,2018-02-01 09:30,城东区富强巷社区树林巷居委会业务用房改造装饰项目,西宁市行政服务和公共资源交易中心二楼,西宁市城东区民政局
5,2018-02-01 09:30,城东区青藏花园社区康南居委会业务用房改造装饰项目,西宁市行政服务和公共资源交易中心二楼,西宁市城东区民政局
6,2018-02-01 09:30,西宁市路灯信息化管理系统建设项目二包监理（第三次）,西宁市公共资源交易中心二楼开标室（西宁市城北区海湖桥北侧、湟水花园小区西门正对面、海西路25-107号）,西宁市市政工程管理处
7,2018-02-01 09:30,2017年农村义务教育薄弱学校改造计划（第三批）教育技术装备中小学各科教学设备（一）采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
8,2018-02-01 09:30,中共西宁市纪律检查委员会办公设备采购,西宁市公共资源交易中心二楼2号谈判室,中共西宁市纪律检查委员会
9,2018-02-01 09:30,隆务第二寄校购买办公设备采购项目,青海省公共资源交易中心2楼6号开标室（西宁市西川南路53号文博大厦）,同仁县隆务第二寄宿制学校
10,2018-02-01 09:30,平安区基层党委知识管理系统建设项目,西宁市城西区五四西路安泰大厦西座15层甘肃东方工程咨询有限公司青海分公司开标室,中共海东市平安区委办公室
11,2018-02-01 09:30,西宁市市场监督管理局办公电脑采购,西宁市公共资源交易中心二楼,西宁市市场监督管理局
12,2018-02-01 09:30,西宁市市场监督管理局信息监管平台建设工程监理项目,西宁市公共资源交易中心二楼,西宁市市场监督管理局
13,2018-02-01 09:30,西宁城市职业技术学院电气自动化技能大赛设备采购项目,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,西宁城市职业技术学院
14,2018-02-01 09:30,格尔木市纪律检查委员会物业保洁服务项目,格尔木市行政服务和公共资源交易中心3号开标厅（格尔木市泰山路21号盐湖办事大厅4楼开标大厅）,格尔木市行政服务和公共资源交易中心
15,2018-02-01 09:30,政府办公楼保洁采购项目（第二次）,西宁市城西区海湖新区美仑金座B座11楼1103室,西宁市城中区人民政府办公室
16,2018-02-01 09:30,曲麻莱县公安局执法办案中心中央空调系统采购项目,青海万事通工程咨询有限公司（西宁市西川南路23号夏都景苑1号楼1单元5楼）,曲麻莱县公安局
17,2018-02-01 09:30,互助县城区交通信号灯安装项目,青海省海东市建设工程交易中心交易大厅,互助土族自治县城市管理综合执法局 
18,2018-02-01 09:30,德令哈市公安局尕海派出所标准化办案区同步录音录像装饰系统工程,海西州行政服务和公共资源交易中心四楼3号询价谈判室,德令哈市公安局
19,2018-02-01 10:00,曲麻莱县民政局粮食采购项目,青海正佳工程项目管理有限公司二楼（西宁市海湖新区文景南街9-61号）,曲麻莱县民政局
20,2018-02-01 10:30,海晏县2018年春节元宵节彩灯制作布展项目,西宁市城西区胜利路1号招商银行7楼,海晏县文体广电旅游局
21,2018-02-01 11:00,祁连县农牧水利和科技局车辆采购项目,海北州祁连县财政局四楼会议室,祁连县农牧水利和科技局
22,2018-02-01 14:30,玛多县卫生和计划生育委员会医疗耗材采购,青海省人民政府行政服务和公共资源交易中心二楼青海省西宁市西川南路53号,玛多县卫生和计划生育委员会
23,2018-02-01 14:30,黄南藏族自治州扎毛水库管理局水源地保护监控及报警设备采购项目,青海省人民政府行政服务和公共资源交易中心二楼开标室（西川南路53号）,黄南藏族自治州扎毛水库管理局
24,2018-02-01 14:30,西宁城市职业技术学院机电工程系技能大赛耗材及工具采购项目,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,西宁城市职业技术学院
25,2018-02-01 14:30,贵德县2017年蔬菜良种繁育建设项目,青海省西宁市城西区西川南路53号文博大厦二楼开标室（青海省人民政府行政服务和公共资源交易中心）,贵德县农牧林业和环境保护局
26,2018-02-01 14:40,青海师范大学美术系数媒系统采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海师范大学
27,2018-02-01 15:00,黄南州畜牧兽医工作站办公场所装修工程,黄南州公共资源交易中心（青海省黄南州同仁县康乐北路州政府3号楼）,黄南藏族自治州畜牧兽医工作站
28,2018-02-01 15:00,曲麻莱县公安局执法办案中心办公用品采购项目,青海万事通工程咨询有限公司（西宁市西川南路23号夏都景苑1号楼1单元5楼）,曲麻莱县公安局
29,2018-02-01 15:00,青海省六一幼儿园锅炉采购（二次）,中辰工程咨询有限公司青海分公司（西宁市西川南路23号夏都景苑1号楼1单元5楼）,青海省六一幼儿园
30,2018-02-01 15:00,海南州藏医院藏药材配送商招标采购项目,海南州共和县城北新区政和大街海南州公共交易中心四楼,海南州藏医院
31,2018-02-01 15:00,海南州藏医院药品印刷包装配送商招标项目（第二次）,海南州共和县城北新区政和大街海南州行政服务和公共资源交易中心三楼,海南州藏医院
32,2018-02-01 15:00,乌兰县人民医院医疗设备采购项目,青海省西宁市西川南路53号青海省公共资源交易中心2楼4号开标室,乌兰县人民医院
