序号,开标时间,项目名称,开标地点,采购单位
1,2018-05-07 09:30,格尔木市农产品质量产地环境检测专用车辆采购项目(二次),格尔木市行政服务和公共资源交易中心3号开标室（格尔木市泰山路21号盐湖办事大厅4楼）,格尔木市农牧和扶贫开发局
2,2018-05-07 09:30,海东市乐都区临街劳务市场修建工程,西宁市城西区海湖新区金座晟锦A区2号楼二单元八楼2083室,海东市乐都区就业服务局
3,2018-05-07 09:30,流通领域食品质量抽检服务（第二次）,西宁市公共资源交易中心二楼（西宁市城北区海湖路）,西宁市城北区食品药品和市场监督管理局
4,2018-05-07 09:30,农产品质量抽检服务（第二次）,西宁市公共资源交易中心,西宁市城北区食品药品和市场监督管理局
5,2018-05-07 09:30,乐都区基本公共卫生服务项目,乐都区中医院 、 乐都区中医院 、 碾伯镇岗沟卫生院、雨润镇卫生院、乐都区第二人民医院、寿乐镇引胜卫生院、高庙镇中心卫生院、洪水镇卫生院、高店镇卫生院、瞿昙镇中心卫生院、瞿昙镇亲仁卫生院、共和乡卫生院、中岭乡卫生院 、李家乡卫生院、下营乡卫生院、芦花乡中心卫生院、马营乡卫生院、马厂乡卫生院、蒲台乡卫生院、蒲台乡桃红营卫生院、中坝乡卫生院、峰堆乡卫生院、城台乡卫生院、达拉乡卫生院,海东市乐都区卫生和计划生育局
6,2018-05-07 09:30,湟中县食品安全检验检测室仪器及配套设施采购项目,西宁市公共资源交易中心,湟中县食品药品和市场监督管理局
7,2018-05-07 09:30,共和县恰卜恰镇乙浪堂村民族射箭馆建设项目,青海省人民政府服务和公共资源交易中心二楼,共和县民族宗教事务局
8,2018-05-07 09:30,康杨镇太空能分布式独栋供热项目（二期）,白果科技股份公司   青海省西宁市城东区建国路66号新千国际广场19号楼1094号房,尖扎县重点项目建设办公室（县发改局）
9,2018-05-07 09:30,城北区绿化市场化运作服务项目,西宁市公共资源交易中心（西宁市城北区海湖桥北，湟水花园西门正对面）,西宁市城北区市政公用服务中心
10,2018-05-07 09:30,2017年第二批学前教育设备购置项目,青海省人民政府行政服务和公共资源交易中心二楼五号开标室,曲麻莱县教育局
11,2018-05-07 09:30,互助县人防地面应急指挥中心信息系统项目,西宁市西川南路53号青海省人民政府行政服务和公共资源交易中心二楼开标厅,互助土族自治县人民防空办公室
12,2018-05-07 09:30,湟源县2017年林业改革发展资金森林抚育补贴项目和湟源县2018年提前下达林业改革发展森林抚育补贴资金项目,西宁市海西路26-107号西宁市公共资源交易中心二楼（开标室在大屏处查看）,湟源县农林牧和扶贫开发局
13,2018-05-07 09:30,互助县2017年“三北”防护林退化林分修复工程（包四、包六第二次）,西宁市城西区西川南路76号万达中心4号楼（万达嘉华酒店西侧 ）22层12206室,互助土族自治县林业局 
14,2018-05-07 09:30,2018-2019年度化隆回族自治县五部门车辆定点修理采购项目,西宁市城东区建国路新千国际广场19号楼1205室,化隆回族自治县五部门
15,2018-05-07 09:30,海东市平安区2017年高标准牧草基地建设项目,海东市平安区政务服务中心三楼开标室,海东市平安区农牧局
16,2018-05-07 09:30,2017年行政村农民健身工程,西宁市西川南路53号青海省人民政府行政服务和公共资源交易中心二楼开标厅,青海省体育局
17,2018-05-07 09:30,青海省体育局2017健身器材更新公开招标,西宁市西川南路53号青海省人民政府行政服务和公共资源交易中心二楼开标厅,青海省体育局
18,2018-05-07 09:30,西宁市城北区惠心篮配送服务项目,青海巨和工程造价咨询有限公司开标厅（西宁市城西区五四西路61号新华联2号公寓17层）,西宁市城北区发展改革和经济商务局
19,2018-05-07 10:00,黄南州文化消费数据采集平台,青海省西宁市朝阳东路11号院内3楼（正信伟业招标集团有限公司开标室）,青海省黄南藏族自治州文化体育广电局
20,2018-05-07 10:00,民和县“雪亮工程”综治分平台一期采购项目（第一批）,上海容基工程项目管理有限公司青海分公司会议室（青海省西宁市西川南路76号万达中心1号写字楼6楼10605室）,中共民和回族土族自治县委政法委员会
21,2018-05-07 10:00,2018年大通县乡村旅游扶贫项目（工程监理）,西宁市公共资源交易中心2F,大通县扶贫开发办公室
22,2018-05-07 10:00,青海省第五人民医院急、危、重症临床信息系统相关设备采购项目,青海省人民政府行政服务和公共资源交易中心二楼4号开标室,青海省第五人民医院
23,2018-05-07 10:00,玉树州林业站植物检疫员服装采购项目,玉树州财政局三楼会议室,玉树州林业站
24,2018-05-07 14:30,玉树藏族自治州人民医院妇产科阴道镜采购项目,青海省西宁市城西区西川南路76号1号楼27层12701室,玉树藏族自治州人民医院
25,2018-05-07 14:30,海东市平安区、乐都区、民和县、互助县、循化县及化隆县2017年度退牧还草工程（监理）,青海省人民政府行政服务和公共资源交易公司二楼开标室,海东市农业发展委员会
26,2018-05-07 14:30,城北区滴灌维护服务项目,西宁市公共资源交易中心（西宁市城北区海湖桥北，湟水花园西门正对面） ,西宁市城北区市政公用服务中心
27,2018-05-07 14:30,化隆县精准扶贫2018年贫困村环保基础设施建设项目和贫困村环保基础设施建设“回头看”项目（垃圾池）,西宁市西川南路76号万达中心1号写字楼5楼10508室,化隆回族自治县环境保护局
28,2018-05-07 14:30,共和县教育局学前教育教玩具采购项目,海南藏族自治州行政服务和公共资源交易中心（共和县城北新区政和路）,共和县教育局
29,2018-05-07 14:30,黄南州公安局刑事科学技术研究所仪器设备采购项目,黄南州公共资源交易中心,黄南藏族自治州公安局
30,2018-05-07 14:30,贵南县仁爱智明孤儿职业学校房屋维修改造项目,青海省人民政府行政服务和公共资源交易中心,贵南县民政局
31,2018-05-07 14:30,《洁白的仙鹤》剧目灯光设备购置项目,青海省人民政府行政服务和公共资源交易中心二楼开标室（青海省西宁市城西区西川南路53号文博大厦）,刚察县文体广电旅游局
32,2018-05-07 14:30,同仁县隆务第二寄宿制学校均衡发展项目,黄南州行政服务和公共资源交易中心,同仁县隆务第二寄宿制学校
33,2018-05-07 14:30,门源县珠固乡元树村元树沟水电站和元树二级水电站资产评估机构采购项目,青海省人民政府行政服务和公共资源交易中心2楼,门源回族自治县水利局
34,2018-05-07 14:30,各项残疾人工作宣传手册和各类宣传用品采购项目,青海省西宁市城西区昆仑西路万达中心4号写字楼7楼703室,乌兰县残疾人联合会
35,2018-05-07 14:40,青海省教育数据中心扩容升级项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省教育厅
36,2018-05-07 14:40,青海省图书馆数字体验中心建设项目（一）,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省图书馆
37,2018-05-07 15:00,乌兰县相关单位办公设备采购项目（第二次）,乌兰县希里沟镇东大街乌兰县政府采购中心会议室,乌兰县相关单位
38,2018-05-07 15:00,海南州市场监督管理局房屋租赁服务项目,海南州共和县城北新区政和大街青海银行西侧一楼,海南州市场监督管理局
39,2018-05-07 15:00,青海省黄河干流防洪工程增殖放流项目,青海万事通工程咨询有限公司（西宁市西川南路23号夏都景苑1号楼1单元5楼）,黄河干流防洪工程化隆县建设管理局
40,2018-05-07 15:00,海南州职业技术学校南校区停车场地坪项目,海南州德瑞招投标代理有限公司（海南州共和县城北新区政和大街青海银行西侧一楼）,海南州职业技术学校
41,2018-05-07 16:13,门源县珠固乡元树村元树沟水电站和元树二级水电站资产评估机构采购项目,青海省人民政府行政服务和公共资源交易中心2楼,门源回族自治县水利局
