序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-15 09:00,青海大学附属医院新综合楼医疗信息可视化服务系统建设项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海大学附属医院
2,2018-01-15 09:00,湟源县发展和改革局办公设备采购  ,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,湟源县发展和改革局
3,2018-01-15 09:00,青海省人民医院颌面外科颌骨动力系统采购项目,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,青海省人民医院
4,2018-01-15 09:00,兰采学区购买学前室外玩具等办公设备采购项目（二次）,青海省公共资源交易中心2楼2号开标室（西宁市西川南路53号文博大厦）,同仁县兰采学区
5,2018-01-15 09:00,青海省人民检察院会议桌椅采购项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省人民检察院
6,2018-01-15 09:30,2017年互助县读卡器升级采购项目,广东华大互联网股份有限公司,互助县卫生和计划生育局 
7,2018-01-15 09:30,果洛州2017年第三批“全面改薄”教育装备项目,青海省行政服务和公共资源交易中心,果洛州教育局
8,2018-01-15 09:30,2017年职业教育特殊补助专项资金项目项下实训设备采购项目,青海省人民政府行政服务和公共资源交易中心[西川南路53号文博大厦（万佳家居城正对面）,青海省水电职业技术学校
9,2018-01-15 09:30,2017年第二批职业教育专项资金项目项下电气运行及控制系统建设设备采购及电气应用与控制系统建设设备采购项目,青海省人民政府行政服务和公共资源交易中心[西川南路53号文博大厦（万佳家居城正对面）,青海省水电职业技术学校
10,2018-01-15 09:30,玉树州民族中学校内安全设施采购项目,西川南路76号万达中心1号写字楼5楼10508室,玉树州民族中学
11,2018-01-15 09:30,2017年互助县健康一体机升级采购项目,北京麦邦光电仪器有限公司 ,互助县卫生和计划生育局
12,2018-01-15 09:30,互助县2017年省级示范社家庭农牧场奖补项目,互助县政府采购中心,互助县农牧局
13,2018-01-15 09:30,西宁市公共安全视频监控建设联网应用示范城市（雪亮工程）监理项目,西宁市公共资源交易中心二楼3号谈判室,中共西宁市委政法委员会
14,2018-01-15 09:30,玉树州大气污染防治项目,青海省西宁市城北区柴达木路68号金座雅园一期1号楼五单元5111室,玉树藏族自治州环境保护局
15,2018-01-15 09:30,大通县2017年农村饮水安全巩固提升工程43村人畜饮水工程水厂部分,青海省西宁市城西区西川南路53号文博大厦二楼（青海省人民政府行政服务和公共资源交易中心）,大通回族土族自治县水利工程建设管理局
16,2018-01-15 09:30,2018年青海省公共数字文化服务推广活动采购项目,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,青海省图书馆
17,2018-01-15 09:30,刚察县2017年天保管护等设备采购项目(第三次）,刚察县财政局三楼,刚察县环境保护和林业水利局
18,2018-01-15 09:30,刚察县特色农畜产品电子商务O2O体验馆建设运营项目,青海省人民政府行政服务和公共资源交易中心二楼8号开标室，地址：青海省西宁市西川南路53号文博大厦。,刚察县经济商务和信息化局
19,2018-01-15 09:30,海南州公安消防支队“两室一站”建设项目,西宁市城西区文博路3号20号楼3-339号,海南州公安消防支队
20,2018-01-15 10:00,2017年职业教育专项资金（省级示范）项目,青海省人民政府行政服务和公共资源交易中心二楼1号开标室地址：青海省西宁市西川南路53号文博大厦,青海省重工业职业技术学校
21,2018-01-15 14:30,甘德县人民医院购买医疗设备项目（二次）,青海省行政服务和公共资源交易中心2楼（西川南路53号）7号开标室,甘德县人民医院
22,2018-01-15 14:30,德令哈市2017年畜牧业防灾减灾储备饲草料项目,海西州行政服务和公共资源交易中心四楼,德令哈市农牧和扶贫开发局
23,2018-01-15 14:30,格尔木市区域环境容量测算及规划编制项目(第二次）,青海省公共资源交易中心2楼4号开标室,格尔木市环境保护局
24,2018-01-15 14:30,海东市人民医院手术腹腔镜设备采购项目,西宁市海湖新区万达中心1号写字楼5楼10508室,海东市人民医院
25,2018-01-15 14:30,2017年门源县农牧业生产救灾资金补助项目（油菜籽种）,青海省人民政府行政服务和公共资源交易中心2楼6号开标厅,门源县农牧和科技局
26,2018-01-15 14:30,共和县教育局2018年春、秋季中小学作业本采购项目,青海省公共资源交易中心二楼 1 号开标厅（青海省西宁市西川南路53号）,共和县教育局
27,2018-01-15 14:30,2017年生均拨款专项-图书馆建设项目“纸质期刊装订”,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,青海师范大学
28,2018-01-15 14:30,2017年生均拨款专项-图书馆建设项目“纸质期刊装订”,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,青海师范大学
29,2018-01-15 14:30,共和县恰卜恰镇藏俗文化中心文化广场建设项目（第二次）,青海省人民政府行政服务与公共资源交易中心,共和县民族宗教事务局
30,2018-01-15 14:30,都兰县人民医院医疗设备采购项目,青海省公共资源交易中心2楼2号开标室（西宁市西川南路53号文博大厦）,都兰县卫生和计划生育局
31,2018-01-15 14:40,青海省统计局信息安全等级保护测评及安全运维服务项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省统计局
32,2018-01-15 14:40,青海师范大学2017年高校综合实力提升计划-教师教育发展中心建设项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海师范大学
33,2018-01-15 15:00,西宁市城中区人民政府办公室区志印刷出版和年鉴编纂印刷出版项目,（青海联祥招标代理有限公司）西宁市城西区胜利路8号7号楼1单元3楼1032室,西宁市城中区人民政府办公室
34,2018-01-15 15:00,德令哈市贡艾里沟生态畜牧业专业合作社股份合作制改造项目,海西州行政服务和公共资源交易中心四楼1号询价室,德令哈市贡艾里沟生态畜牧业专业合作社
35,2018-01-15 15:00,贵南县公安消防大队消防车及部分器材采购项目,海南藏族自治州行政服务和公共资源交易中心5楼,海南藏族自治州公安消防支队贵南县大队
