序号,开标时间,项目名称,开标地点,采购单位
1,2018-04-16 09:00,2017年第二批职业教育专项资金会计（工业）专业采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省重工业职业技术学校
2,2018-04-16 09:00,义务教育均衡发展项目,黄南州公共资源交易中心,同仁县民族中学
3,2018-04-16 09:00,2018年新宁广场设施改造项目,青海省西宁市城西区西川南路76号万达中心4号写字楼（万达嘉华酒店西侧）22层12206室,西宁市城西区城市管理行政执法局
4,2018-04-16 09:00,海西州2014年第一批公益造林资金项目地块调整德令哈市人工造林项目工程,海西州行政服务和公共资源交易中心四楼,德令哈市林业站
5,2018-04-16 09:00,西宁市城西区火烧沟生态治理及修复工程施工（一标段、二标段）,西宁市公共资源交易中心2楼,西宁市城西区环境保护局
6,2018-04-16 09:00,2017年第二批职业教育专项资金会计（工业）专业采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省重工业职业技术学校
7,2018-04-16 09:00,2017年农村义务教育薄弱学校改造计划（第三批）教育信息化化隆、民和校园网改造采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
8,2018-04-16 09:30,互助县2017年农业生产救灾资金项目蔬菜种子采购项目（第三次）,互助县政府采购中心,互助县蔬菜技术服务中心
9,2018-04-16 09:30,青海省第三人民医院医疗设备采购项目,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,青海省第三人民医院
10,2018-04-16 09:30,青海省中医院医疗设备采购项目包四二次,青海省人民政府行政服务和公共资源交易中心二楼4号开标室；地址：青海省西宁市西川南路53号文博大厦,青海省中医院
11,2018-04-16 09:30,玉树州创建民族进步先进区工作领导小组办公室订制楼宇广告宣传牌,山东通力招标有限公司青海分公司（西宁市城西区西川南路76号万达中心4号写字楼22层12201室）,玉树州创建民族进步先进区工作领导小组办公室
12,2018-04-16 09:30,2017年江苏省对口支援同德县特色种养殖业发展扶持项目,西宁市城西区新宁路28号紫恒大厦14层青海正诚招标咨询有限公司开标室,同德县农牧和科技局
13,2018-04-16 09:30,德令哈市2017年森林生态效益补偿基金项目采购苗木,海西州行政服务和公共资源交易中心四楼,德令哈市林业局
14,2018-04-16 10:00,青海省大通县2017年大宗油料生产基地建设项目（苗木）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷湟水花园西门对面）,大通县种子管理站
15,2018-04-16 10:00,青海省中医院医疗设备采购项目包四二次,青海省人民政府行政服务和公共资源交易中心二楼4号开标室；地址：青海省西宁市西川南路53号文博大厦,青海省中医院
16,2018-04-16 10:00,祁连县民政和扶贫开发局视频会议系统建设项目,海北州祁连县财政局四楼会议室,祁连县民政和扶贫开发局(扶贫局)
17,2018-04-16 10:30,城中区2018年度食品监督抽检服务项目,西宁市公共资源交易中心二楼,西宁市城中区食品药品和市场监督管理局
18,2018-04-16 10:30,同仁县义务教育均衡发展项目,青海省行政服务和公共资源交易中心,同仁县曲库乎学区、同仁县黄乃亥学区
19,2018-04-16 10:30,2017年互助县县级财政支农资金项目,互助县政府采购中心,互助县蔬菜技术服务中心
20,2018-04-16 11:00,海晏县就业服务局政府补贴城乡劳动职业技能培训服务项目（第三次）,海北州行政服务和公共资源交易中心,海晏县就业服务局
21,2018-04-16 14:00,2017年农村义务教育薄弱学校改造计划（第三批）教育信息化计算机教室、教学点播放设备采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
