序号,开标时间,项目名称,开标地点,采购单位
1,2018-01-24 09:00,湟中县民政局老年之家标识牌采购项目,青海省西宁市城西区黄河路90号西宁市综合办公大楼北侧青海国焱招标代理有限公司开标室,湟中县民政局
2,2018-01-24 09:00,青海省人民检察院办案区配备专用设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省人民检察院
3,2018-01-24 09:00,海西州纪委(监察委)办公家具采购项目,青海省海西州行政服务和公共资源交易中心四楼3号谈判询价室,海西州纪委(监察委)
4,2018-01-24 09:00,2017年中央财政专项-科研平台与实践基地建设“青藏高原环境与生态教育部重点实验室建设”（第二次）,青海省公共资源交易中心二楼【青海省西宁市西川南路53号】,青海师范大学
5,2018-01-24 09:30,多巴基地田径馆塑胶跑道更新,西宁市西川南路53号青海省人民政府行政服务和公共资源交易中心二楼开标厅,青海省体育局
6,2018-01-24 09:30,贵南县茫拉乡都兰等五个村高标准基本农田整理审计项目,青海省机电设备招标中心（青海省西宁市青海生物科技产业园经四路26号）,贵南县国土资源局
7,2018-01-24 09:30,2017年省级临床重点专科建设项目 ,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,青海大学附属医院
8,2018-01-24 09:30,德令哈市农村牧区智能交通系统及视频监控深化应用项目,海西州行政服务和公共资源交易中心四楼一号开标室 ,德令哈市公安局
9,2018-01-24 09:30,2017年大通县新型职业农民培训项目（实践耗材采购）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）（湟水花园西门对面）,青海省农业广播电视学校大通分校
10,2018-01-24 09:30,青海开盛公招（服务）2018-005,青海省公共资源交易中心2楼（青海省西宁市西川南路53号）,玉树藏族自治州民政局
11,2018-01-24 10:00,大通县北川渠灌区（长宁片）高标准农田建设项目（机械作业费）,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷湟水花园西门对面）,大通县种子管理站
12,2018-01-24 14:30,贵南县人民法院及塔秀乡、森多镇四村采购办公设备项目 (第二次),西宁市黄河路21号可可西里俱乐部四楼9号会议室,贵南县人民法院
13,2018-01-24 14:30,都兰县交警大队车辆管理所驾驶人考试场地升级改造设备 ,青海省行政服务和公共资源交易中心2号开标室,都兰县公安交通警察大队
14,2018-01-24 14:30,化隆县德恒隆乡卡什代等4村易地扶贫搬迁公共基础设施项目(路灯采购）,广东华联建设投资管理股份有限公司西宁分公司开标室(地址：西宁市城西区西川南路53号1号楼2单元2111室),化隆回族自治县新农村建设服务中心
15,2018-01-24 14:30,都兰县交警大队车辆管理所驾驶人考试场地升级改造设备,青海省行政服务和公共资源交易中心,都兰县公安交通警察大队
16,2018-01-24 14:30,办公用品及警用装备,西宁市城东区建国南路与夏都大街交汇处新千国际广场19号楼12层1124室,化隆回族自治县公安局
17,2018-01-24 14:40,青海交通职业技术学院校企共建生产性实训基地建设-ICT实训基地二期建设项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海交通职业技术学院校
18,2018-01-24 14:40,2017年第二批林业改革发展资金青海省祁连山地区雪豹监测网络与调查、巡护资金项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省祁连山自然保护区管理局
19,2018-01-24 15:00, 2016年第一批全州州规学前教育附属设施建设及设备购置项目 ,青海省人民政府行政服务和公共资源交易中心二楼,称多县教育局 
20,2018-01-24 15:00,城北区2018年春季绿化苗木采购,城北区政府采购中心（朝阳西路20-8号）,城北区市政公用服务中心
21,2018-01-24 15:00,青海省天然草地资源清查项目（第二次）,青海省公共资源交易中心二楼开标厅（青海省西宁市西川南路53号）,青海省草原总站
