序号,开标时间,项目名称,开标地点,采购单位
1,2018-02-05 09:00,海西州德农农牧有限公司春小麦、青稞良种繁育基地建设项目,德令哈市环城西路与经一路三段交汇处（柴达木职业技术学院西侧）海西州行政服务和公共资源交易中心四楼。,柯鲁柯镇人民政府
2,2018-02-05 09:00,“玉树先锋”移动终端及藏汉双语翻译软件等设备,青海省西宁市城北区柴达木路68号金座雅园一期1号楼五单元5111室,中共玉树州委政法委员会
3,2018-02-05 09:00,三江源国家公园管理局越野车采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,三江源国家公园管理局
4,2018-02-05 09:30,生物园区道路、广场景观灯饰采购及安装项目,西宁市公共资源交易中心2楼(西宁市海湖桥桥北湟水花园正对面),西宁经济技术开发区生物科技产业园区管委会公共设施管理局
5,2018-02-05 09:30,兴海路52号青砖楼维修项目,西宁市城西区海湖新区海宏一号E区4号楼1-27-1室,西宁市城西区建设局
6,2018-02-05 09:30,共和县市场监督管理局执法电动车采购项目（第二次）,青海省公共资源交易中心二楼多功能厅（西侧）（青海省西宁市西川南路53号）,共和县市场监督管理局
7,2018-02-05 09:30,2017年农村义务教育薄弱学校改造计划（第三批）教育技术装备美术设备采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
8,2018-02-05 09:30,2016年民和县财政支农资金林下经济项目（二次）,海东市公共资源交易中心6楼,民和回族土族自治县林业局
9,2018-02-05 09:30,湟源县中央广播电视节目无线数字化覆盖17个台站的设备维护维修项目,西宁市西川南路76号万达中心1号写字楼7层青海建硕招标代理有限公司开标室,湟源县广播电视局
10,2018-02-05 09:30,民和县2016年重点地区生态经济林“先建后补”建设项目（二次）,海东市建设工程交易中心6楼,民和回族土族自治县林业局
11,2018-02-05 09:30,青海省西宁市人民检察院会议室及办公家具购置,西宁市公共资源交易中心二楼3号谈判室,青海省西宁市人民检察院
12,2018-02-05 10:00,平安区三合镇西崖头庄幸福院室内装修项目,海东市平安区政务服务中心三楼开标室,海东市平安区民政局
13,2018-02-05 14:30,青海省人民检察院2018年保安服务（第三次）,青海省西宁市城西区西川南路省公共资源交易中心,青海省人民检察院
14,2018-02-05 14:30,共和县2017年度中央财政造林补贴试点项目设计,青海省公共资源交易中心2楼（西宁市西川南路53号文博大厦）8号开标室,共和县林业站
15,2018-02-05 14:30,海西州民族歌舞团乐器采购,青海省行政服务和公共资源交易中心二楼1号开标室,海西州民族歌舞团
16,2018-02-05 14:30,贵德县儿童福利院装修项目,青海省行政服务和公共资源交易中心二楼,贵德县民政局 
17,2018-02-05 14:30,玉树藏族自治州藏医院办公设备耗材采购项目,青海省西宁市城北区柴达木路68号金座雅园一期1号楼五单元5111室,玉树藏族自治州藏医院
18,2018-02-05 14:30,玉树藏族自治州藏医院办公设备耗材采购项目,青海省西宁市城北区柴达木路68号金座雅园一期1号楼五单元5111室,玉树藏族自治州藏医院
19,2018-02-05 14:40,青海省人民检察院省院机关六楼视频会议室改造项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省人民检察院
20,2018-02-05 14:40,青海省人民检察院显示输出设备采购项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）。,青海省人民检察院
21,2018-02-05 15:00,公园及花卉市场物业保洁服务社会化招标（三次）,西宁市公共资源交易中心二楼（地址：西宁市城西区海西西路25号海湖桥西侧）,西宁市文化公园
22,2018-02-05 15:00,海南州残联购置残疾人辅助器具项目,海南州共和县城北新区政和大街海南州公共交易中心三楼,海南州残疾人联合会
23,2018-02-05 15:30,同仁县一完小操场改造项目,青海省行政服务和公共资源交易中心,同仁县一完小
24,2018-02-05 17:00,海南州藏医院检验耗材配送商招标项目（第二次）,海南州共和县城北新区政和大街海南州行政服务和公共资源交易中心三楼,海南州藏医院
