序号,开标时间,项目名称,开标地点,采购单位
1,2018-11-07 09:00,青海省西宁市中级人民法院荣誉室建设,西宁市公共资源交易中心二楼开标室,青海省西宁市中级人民法院 
2,2018-11-07 09:00,青海省祁连山区山水林田湖生态保护修复试点项目-祁连山区生态环境状况本底监测与调查项目,青海省公共资源交易中心7号开标室,青海省生态环境遥感监测中心
3,2018-11-07 09:00,表彰脱贫光荣户项目,青海省公共资源交易中心2楼开标厅（青海省西宁市西川南路53号文博大厦）,化隆回族自治县扶贫开发局
4,2018-11-07 09:00,青海师范大学2018年综合实力提升-中兴通讯ICT产教融合创新基地建设项目,青海省政府采购中心（海湖新区海晏路75号地矿综合写字楼15楼）。,青海师范大学
5,2018-11-07 09:00,玛沁县林业局2018年度政府采购管护及办公设备项目,青海省公共资源交易中心2楼7号开标室,玛沁县林业局
6,2018-11-07 09:00,玛沁县财政局U8系统维护,青海省公共资源交易中心,玛沁县财政局
7,2018-11-07 09:00,绩效管理软件与新HIS系统数据开通接口和HIS系统增加存货物流模块和单病种收费模块项目  ,西宁市公共资源交易中心二楼,都兰县人民医院
8,2018-11-07 09:00,门源县2017年新增公益林管护资金和2018年森林生态效益补偿基金防火宣传用品、饮用水水源地保护宣传教育活动宣传品采购项目,青海诚容工程项目管理有限责任公司开标室（青海省西宁市城西区海湖新区同盛路万达广场2号楼16层）,门源回族自治县环境保护和林业局
9,2018-11-07 09:00,玛沁县林业局2018年度政府采购管护及办公设备项目,青海省公共资源交易中心2楼5号开标室,玛沁县林业局2
10,2018-11-07 09:00,2018年综合实力提升--数字媒体产教融合创新应用示范基地建设设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：,青海师范大学
11,2018-11-07 09:00,青海师范大学2018年综合实力提升-藏文处理与信息安全一流学科建设设备采购项目,青海省政府采购中心开标室（海湖新区海晏路75号地矿综合写字楼15楼）。,青海师范大学
12,2018-11-07 09:20,锦州石艺厂石材设备(第二次）,互助县政府采购中心,互助县丹麻镇人民政府
13,2018-11-07 09:30,青海红十字医院验光台等采购项目（第三次）,青海省西宁市城西区昆仑西路万达中心4号写字楼7楼703室,竞争性磋商
14,2018-11-07 09:30,城西区文化服务阵地图书购置项目,西宁市公共资源交易中心2楼（西宁市城北区海湖桥北侧湟水花园对面）开标室,西宁市城西区科技文体旅游局
15,2018-11-07 09:30,2018年城西区路灯维修及改造项目（七一路路灯改造）,西宁市公共资源交易中心二楼,西宁市城西区市政公用服务中心
16,2018-11-07 09:30,省体校激光枪采购,速得尔科技（北京）有限公司,青海省青少年业余体育学校
17,2018-11-07 09:30,2018年黄河路沿线景观绿化工程,西宁市公共资源交易中心二楼开标室,西宁市城西区市政公用服务中心 
18,2018-11-07 09:30,中共青海省玉树市纪律检查委员会村务监督委员会办公用品采购项目,青海邦巴岭招标代理有限公司 （西宁市城西区西川南路76号1号楼27层12701室）,中共青海省玉树市纪律检查委员会
19,2018-11-07 09:30,2018年黄河路沿线景观绿化工程,西宁市公共资源交易中心二楼开标室,西宁市城西区市政公用服务中心
20,2018-11-07 09:30,2018年度中央财政专项---青海大学VR虚拟实验室建设项目,福建省华渔教育科技有限公司,青海大学
21,2018-11-07 09:30,祁连县天然林保护工程二期2017年森林管护“三防”智能管控系统续建项目,青海辉泰消防工程有限公司,祁连县林业总场
22,2018-11-07 09:30,订购健康教育传册项目,安徽瑞邦工程造价有限公司（青海省西宁市城西区万达广场4号楼30层13001室）,囊谦县卫生和计划生育局
23,2018-11-07 09:30,同德县审计局公务用车购置（二次）,青海省西宁市五四西路53号三榆西城天街铂金写字楼1号楼19层21923室,同德县审计局
24,2018-11-07 09:30,青海大学附属医院门急诊楼床上用品采购项目,国采（青海）招标有限公司（西宁市城北区经四路26号国家级科技孵化器大厦3楼）,青海大学附属医院
25,2018-11-07 09:30,西宁市2018年农村环境综合整治项目,西宁市公共资源交易中心二楼,西宁市环境保护局
26,2018-11-07 09:37,避孕套采购项目（第三次）,青海省人民政府行政服务和公共资源交易中心二楼1号开标室地址：青海省西宁市西川南路53号文博大厦,青海省人口和计划生育药械管理中心
27,2018-11-07 10:00,关于后勤物业社会化项目采购,青海创鑫工程咨询股份有限公司（会议室）地址：西宁市五四大街2号4楼招标部会议室,青海省藏语系佛学院
28,2018-11-07 10:00,刚察县2018年现代农业产业园建设项目,青海省人民政府行政服务和公共资源交易中心二楼1号开标室（青海省西宁市城西区西川南路53号文博大厦）注：本项目采用电子招投标，投标人需使用投标文件制作软件完成电子投标文件的制作工作，开标前上传至青海省电子招标投标公共服务平台。,刚察县农牧和科技局
29,2018-11-07 10:00,乐都区林业局基层林业工作站办公设备采购项目,乐都区财政局五楼会议室（乐都区滨河北路2号）,海东市乐都区林业局
30,2018-11-07 11:00,第三次水资源调查评价项目（面源污染调查、水生态调查）（第二次）,青海省公共资源交易中心二楼2号开标室,青海省水文水资源勘测局
31,2018-11-07 11:00,2018年县级支农资金中采购牧区草原新帐篷项目 ,青海省公共资源交易中心二楼,曲麻莱县畜牧科技局
32,2018-11-07 11:49,2018年黄河路沿线景观绿化工程,西宁市公共资源交易中心二楼开标室,西宁市城西区市政公用服务中心
33,2018-11-07 13:30,贵德县纪委监委办公设备采购项目,青海省行政服务和公共资源交易中心2楼8号开标室,中国共产党贵德县纪律检查委员会
34,2018-11-07 14:00,囊谦县2018年天然林资源保护二期工程封山育林项目,青海省人民政府行政服务和公共资源交易中心多功能厅（西侧）,囊谦县环境保护和林业局
35,2018-11-07 14:00,避孕套采购项目（第三次）,青海省人民政府行政服务和公共资源交易中心二楼1号开标室地址：青海省西宁市西川南路53号文博大厦,青海省人口和计划生育药械管理中心
36,2018-11-07 14:00,青海端则单一（货物）2018-027 ,undefined,青海端则招标咨询有限公司
37,2018-11-07 14:00,海西州农牧局2018年陆生动物疫病病原学监测区域中心建设项目仪器设备采购,青海省行政服务和公共资源交易中心,海西州动物疫病预防控制中心
38,2018-11-07 14:00,德令哈万庄农牧有限公司设施蔬菜标准园创建项目,西宁市海湖新区同盛路金座B区6号楼1041室,德令哈万庄农牧有限公司
39,2018-11-07 14:00,玉树市新建扩建幼儿园设备采购项目,青海省行政服务和公共资源交易中心二楼4号开标室,玉树市教育局
40,2018-11-07 14:00,青海省文物保护信息共享服务平台建设（一期）,青海省人民政府行政服务和公共资源交易中心二楼,青海省文物局
41,2018-11-07 14:30,关于申请维修改造市城管局五楼会议室的报告,青海仁凯工程咨询有限公司开标室（西宁市城西区五四西路71号安泰华庭7号楼1单元16楼1603室）,中国共产党玉树市委员会办公室
42,2018-11-07 14:30,都兰县人民医院后勤社会化服务项目,西宁市公共资源交易中心二楼,都兰县人民医院
43,2018-11-07 14:30,青海大学冷水鱼育种繁殖实验室设备购置及环境改造,青海赫铭工程项目管理有限公司地址：西宁市城西区西川南路53号文博大厦2单元2112室,青海大学
44,2018-11-07 14:30,祁连县八宝镇黄藏寺村养殖小区扩建项目,青海德跃工程项目管理有限公司（西宁市城西区黄河路21号可可西里商住楼9楼）,祁连县八宝镇人民政府
45,2018-11-07 14:30,共和县切吉乡哇合村加什科村活动室提升改造,西宁市海湖新区安泰大厦东座4楼,共和县文化体育广播电视局
46,2018-11-07 14:30,屋面防水维修、更换消防管道及暖气闸阀,青海省西宁市城西区黄河路90号西宁市政府综合大楼三楼青海国焱招标代理有限公司开标室,西宁市青藏铁路花园学校
47,2018-11-07 14:30,玉树藏族自治州民族中学食堂室外工程及知识楼、感恩楼维修项目（二次）,青海邦巴岭招标代理有限公司（西宁市城西区西川南路76号1号写字楼27层12701室）,玉树藏族自治州民族中学
48,2018-11-07 14:30,祁连山国家公园生态系统价值效益评估项目,北京中林资产评估有限公司,祁连县林业总场
49,2018-11-07 14:30,青海省ZF801项目一期主线路租赁,中国移动通信集团青海有限公司,中共青海省委政法委员会
50,2018-11-07 14:30,祁连县八宝镇黄藏寺村农产品深加工小作坊建设项目,青海德跃工程项目管理有限公司（西宁市城西区黄河路21号可可西里商住楼9楼）,祁连县八宝镇人民政府
51,2018-11-07 15:00,青海省水文水资源勘测局第三次水资源评价设备采购项目,青海省政府采购中心（海湖新区海晏路75号地矿综合写字楼15楼）。,青海省水文水资源勘测局
52,2018-11-07 15:00,青海省ZF801项目一期辅线路租赁,undefined,中共青海省委政法委员会
53,2018-11-07 15:00,海南州安全生产监督管理局公务用车采购项目（第二次）,西宁市公共资源交易中心竞谈室二,海南州安全生产监督管理局
54,2018-11-07 17:30,入户调查项目(三次),西宁市公共资源交易中心二楼2号竟谈室,西宁市环境保护局
