序号,开标时间,项目名称,开标地点,采购单位
1,2018-10-30 09:00,2018年度青海省财政农牧业发展扶贫资金牦牛产业发展施工项目-标段八,青海省公共资源交易中心开标室三,囊谦县农牧科技和水利局
2,2018-10-30 09:00,玉树市农畜产品质量安全检验监测站建设项目（土建工程）（第二次）,青海省行政服务和公共资源交易中心,玉树市畜牧兽医工作站
3,2018-10-30 09:00,中共门源县委组织部办公设备采购项目（二次）,青海省公共资源交易中心二楼6号开标厅（青海省西宁市西川南路53号）,中共门源县委组织部
4,2018-10-30 09:00,青海日报社室内电子阅报屏项目,青海省政府采购中心开标室（海湖新区海晏路75号地矿综合写字楼15楼）。,青海日报社
5,2018-10-30 09:00,2018年度称多县退牧还草工程项目,地 址：青海省人民政府行政服务和公共资源交易中心二楼多功能厅（西侧）（西川南路53号）,称多县农牧科技局
6,2018-10-30 09:00,湟中县公安局标准化信息采集系统升级项目,西宁市公共资源交易中心二楼（具体开标室详见当日大厅液晶显示屏）,湟中县公安局
7,2018-10-30 09:00,青海省县级食品安全快速检测车车载设备采购项目,青海省人民政府行政服务和公共资源交易中心二楼开标室（西宁市西川南路53号）,青海省食品药品监督管理局
8,2018-10-30 09:00,青海日报社室外党报阅报屏项目,青海省政府采购中心开标室（海湖新区海晏路75号地矿综合写字楼15楼）,青海日报社
9,2018-10-30 09:00,全省司法行政系统专网运维服务项目（一）,中国电信股份有限公司青海分公司,青海省司法厅
10,2018-10-30 09:00,格尔木市晨光幼儿园配套工程项目（锅炉安装及天然气连接工程）第二次,格尔木市行政服务和公共资源交易中心四楼开标大厅（格尔木市泰山中路21号）,格尔木市教育局
11,2018-10-30 09:00,尖扎县2018年第二批国有贫困林场扶贫资金项目,黄南州公共资源交易中心,尖扎县环境保护和林业局
12,2018-10-30 09:00,2018 年青海省财政农牧发展扶贫资金牦牛产业发展施工项目,青海省公共资源交易中心一号开标室,囊谦县农牧和科技水利局
13,2018-10-30 09:00,2018年度德令哈市退牧还草工程网围栏采购项目(二标段）二次,海西州行政服务和公共资源交易中心四楼三号开标室,德令哈市农牧和扶贫开发局
14,2018-10-30 09:00,大通县2018年高原美丽乡村及“一事一议”项目（景阳镇哈门村）,西宁市公共资源交易中心二楼（地址：西宁市城北区海西西路25号海湖桥西侧）,大通回族土族自治县社会主义新农村建设工作领导小组办公室
15,2018-10-30 09:00,玛多县财政局U8系统维护,青海省公共资源交易中心,玛多县财政局
16,2018-10-30 09:20,2018年政府购买残疾人寄宿制集中托养服务、日间照料服务项目,1、互助土族自治县爱巢残疾人托养院     2、互助土族自治县早康残疾人托养院 ,互助土族自治县残疾人联合会
17,2018-10-30 09:30,实验室耗材采购,青海省西宁市城西区文景街14号青海诚鑫招标有限公司1号会议室,青海省药品检验检测院
18,2018-10-30 09:30,大通县农牧业生产资料配送中心项目,西宁市公共资源交易中心,大通县文泰油菜专业合作社
19,2018-10-30 09:30,贵南县天然林保护工程二期2018年度森林管护项目包一（第二次）,青海省西宁市五四西路53号三榆西城天街铂金写字楼1号楼19层21923室,贵南县环境保护和林业局
20,2018-10-30 09:30,大通县农牧业生产资料配送中心项目,西宁市公共资源交易中心,大通县农业生产资料有限公司
21,2018-10-30 09:30,来访人员身份识别系统项目（第二次）,青海胜亚招标代理有限公司  地址：西宁市西关大街125号金座晟锦B区1号楼2单元2243室,青海省人民检察院
22,2018-10-30 09:30,监控系统升级,西宁市公共资源交易中心二楼3号谈判室,西宁市公安局城北公安分局   
23,2018-10-30 09:30,玉树藏族自治州民族中学食堂室外工程及知识楼、感恩楼维修项目,青海邦巴岭招标代理有限公司 （西宁市城西区西川南路76号1号写字楼27层12701室）,玉树藏族自治州民族中学
24,2018-10-30 09:30,治多县有机畜牧业工作实施方案,亿诚建设项目管理有限公司（西宁市城西区西川南路76号万达中心4号楼12205室）,治多县畜牧林业科技局
25,2018-10-30 09:30,称多县土地整治规划（2016-2020）年项目编制,青海省西宁市海湖新区新华联广场二期9-61号二楼开标室,称多县国土资源局
26,2018-10-30 09:30,祁连县人民医院脉动预真空大型蒸汽灭菌设备采购项目,西宁市海湖新区万达华府4号楼16楼11616室,祁连县人民医院
27,2018-10-30 09:30,湟中县大才乡2018年“一事一议”财政奖补项目,西宁市公共资源交易中心二楼,湟中县大才回族乡人民政府
28,2018-10-30 09:30,消防装备器材购置项目,海西州冷湖行委财政局采购办,冷湖消防大队
29,2018-10-30 09:30,编写印刷《青海省第一次全国可移动文物普查工作报告》和《青海省可移动文物精品图录》,中辰工程咨询有限公司（西宁市西川南路23号夏都景苑1号楼1单元5楼）,青海省文物局
30,2018-10-30 09:30,空气能取暖设施,深圳市振东招标代理有限公司地址：西宁市城东区建国南路与夏都大街交汇处新千国际广场19号楼12层1124室,门源回族自治县环境保护和林业局
31,2018-10-30 09:30,教育系统安防监控项目,西宁市公共资源交易中心二楼开标室（地址：西宁市城西区海西西路25号海湖桥西侧）,西宁市城东区教育局
32,2018-10-30 09:30,2017年学前教育玩教具购置项目,西宁市城北区海湖桥北（湟水花园西门对面）西宁市公共资源交易中心二楼会议室,湟中县教育局
33,2018-10-30 09:30,2018年城西区辖区庭院绿化项目（电信小区）绿化提升,西宁市公共资源交易中心二楼开标室,西宁市城西区市政公用服务中心
34,2018-10-30 09:30,冷湖消防大队车辆购置项目,冷湖行委采购办,冷湖消防大队
35,2018-10-30 10:00,湟源县2018年人工饲草建设项目（良种采购）,西宁市公共资源交易中心二楼（在大屏幕上查看）,湟源县农林牧和扶贫开发局
36,2018-10-30 10:00,达拉土族乡马圈沟村、麻洞村、达拉滩村环卫设施、文化活动广场硬化等施工项目（第二次）,海东市公共资源交易中心开标室一,海东市乐都区达拉土族乡人民政府
37,2018-10-30 10:00,化隆县2018年第二批县村级公益事业“一事一议”财政奖补项目路灯采购,青海省行政服务和公共资源交易中心二楼多功能厅（西侧）,化隆回族自治县新农村建设服务中心
38,2018-10-30 10:00,2018年全省三级及以上汽车站新配备安检设备采购项目,青海省人民政府行政服务和公共资源交易中心二楼5号开标室地址：青海省西宁市西川南路53号文博大厦,青海省交通运输综合行政执法监督局
39,2018-10-30 10:00,大通德盛特色种植专业合作社高标准农田建设项目,西宁市公共资源交易中心二楼（西宁市城西区海湖桥北金座维尼谷）,大通德盛特色种植专业合作社
