序号,开标时间,项目名称,开标地点,采购单位
1,2018-04-28 09:00,青海省昆仑音像出版社民文数字化出版软硬件设备采购项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省文化和新闻出版厅
2,2018-04-28 09:30,海北中藏医康复中心第一批医疗设备采购项目（二次）,海北州行政服务和公共资源交易中心二楼,海晏县卫生和计划生育局
3,2018-04-28 09:30,2017年乐都区贮草棚建设项目(三次),青海省公共资源交易中心2楼8号开标室（西宁市西川南路53号文博大厦）,海东市乐都区农牧局
4,2018-04-28 09:30,国际农发基金青海六盘山片区扶贫项目林业工程化隆县2018年度苗木采购项目,安徽恒泰工程咨询有限公司青海分公司（西宁市城中区长江路103号山水国际3号楼26楼1265室）,化隆回族自治县林业局
5,2018-04-28 09:30,（西宁）国际园林博览会园博园一期工程初步设计及施工图设计,西宁市公共资源交易中心,西宁市林业局
6,2018-04-28 09:30,柯曲镇目日生态畜牧业合作社奶牛产业化养殖基地及饲草建设项目,青海省公共资源交易中心2楼开标室青海省公共资源交易中心2楼开标室,甘德县农牧林业科技局
7,2018-04-28 09:30,2018年格尔木市财政资金林业有害生物防治用品采购项目,格尔木市行政服务和公共资源交易中心3号开标厅（格尔木市泰山路21号盐湖办事大厅4楼开标大厅）,格尔木市林业工作站
8,2018-04-28 09:30,火化机大修及改造项目,西宁市公共资源交易中心,西宁市殡仪馆
9,2018-04-28 09:30,生物园区广场立体花坛景点制作项目(第二次),西宁市公共资源交易中心二楼,西宁经济技术开发区生物科技产业园区管理委员会公共设施管理局
10,2018-04-28 09:30,班玛县公安局看守所、拘留所等部门办公家具采购项目,四川国际招标有限责任公司青海分公司（西宁市城西区东交通巷1号银泰大厦4楼）,班玛县公安局
11,2018-04-28 09:30,湟中县拦隆口镇环境综合整治及环卫设施购置项目,西宁市城北区海湖桥北（湟水花园西门对面）西宁市公共资源交易中心二楼会议室,湟中县住房和城乡规划建设局
12,2018-04-28 09:30,甘德县2017年藏区专项农牧业服务体系（草原监理站）建设项目设备采购,青海省公共资源交易中心二楼【青海省西宁市西川南路53号】,甘德县农牧林业科技局
13,2018-04-28 09:30,火化机大修及改造项目,西宁市公共资源交易中心,西宁市殡仪馆
14,2018-04-28 09:30,湟中县冰沟幼儿园等四所学校教学用房、室外运动场地及配套工程建设项目,西宁市城北区海湖桥北（湟水花园西门对面）西宁市公共资源交易中心二楼开标室,湟中县教育局
15,2018-04-28 10:00,2018年市财政资金林业有害生物防治劳务项目  ,格尔木市行政服务和公共资源交易中心3号开标厅（格尔木市泰山路21号盐湖办事大厅4楼开标大厅）,格尔木市林业工作站
16,2018-04-28 10:00,群加乡基层供销社恢复重建项目,西宁市海湖新区新华联广场二期9-61号二楼开标室,湟中县供销合作社联合社
17,2018-04-28 14:30,湟中县种子经营管理站政府采购省级救灾补价种子采购项目,undefined,湟中县种子经营管理站
18,2018-04-28 14:30,2017年农业发展专项资金民和县兴润乳业有限公司奶牛养殖联合社奶产业融合发展项目,广东华联建设投资管理股份有限公司西宁分公司地址:西宁市城西区西川南路53号1号楼2单元2111室,民和回族土族自治县农牧局
19,2018-04-28 14:30,玉树州综合体育场（赛马场）绿化改造采购项目,西宁市城西区西川南路76号万达1号写字楼27楼12701室,玉树藏族自治州体育指导服务中心
20,2018-04-28 14:30,藏药包装盒印刷服务供应商采购项目（二次）,海北州行政服务和公共资源交易中心（西海镇）,海北藏族自治州藏医院
21,2018-04-28 14:30,门源县中医院急救医疗设备采购,青海省人民政府行政服务和公共资源交易中心2楼,门源回族自治县中医院
22,2018-04-28 14:30,海西州创业孵化基地、海西州公共职业技能实训基地建设项目用电变压器采购,西宁佳铭建设工程技术咨询服务有限公司开标室（西宁市城西区万达中心1号写字楼24楼12417开标室）,海西蒙古族藏族自治州人力资源和社会保障局
23,2018-04-28 14:40,2017年高校综合实力提升计划专项建设项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海师范大学
24,2018-04-28 14:40,青海师范大学招生考试平台建设项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心（青海省西宁市黄河路30号）,青海师范大学
