序号,开标时间,项目名称,开标地点,采购单位
1,2018-02-02 09:00,青海省公安厅平安区公安局控防系统建设项目,青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省公安厅
2,2018-02-02 09:00,青海省药品检验检测院食品药品安全监管信息化建设项目,投标地址：青海省政府采购电子化平台;开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海省药品检验检测院
3,2018-02-02 09:00,金童艺术幼儿园室外操场铺设项目,西宁市公共资源交易中心2楼（详见电子屏幕）,西宁市城东区教育局 
4,2018-02-02 09:30,2017年贫困劳动力技能培训项目,青海省公共资源交易中心2楼2号开标室（西宁市西川南路53号文博大厦）,贵德县妇女联合会
5,2018-02-02 09:30,开展基础数据云服务平台建设项目（第二次）,青海省人民政府行政服务和公共资源交易中心二楼3号开标室，地址：青海省西宁市西川南路53号文博大厦。,青海省卫生信息中心
6,2018-02-02 09:30,2017年省级支农资金标准化牛改点建设项目（第二次）,青海省人民政府行政服务和公共资源交易中心二楼5号开标室，地址：青海省西宁市西川南路53号文博大厦。,青海省家畜改良中心
7,2018-02-02 09:30,湟源县人民医院健康扶贫一卡通建设项目补充设备采购,西宁市公共资源交易中心二楼开标大厅,湟源县人民医院
8,2018-02-02 09:30,2017年农村义务教育薄弱学校改造计划（第三批）教育技术装备小学心理咨询室采购项目,西宁市城西区文博路3号20号楼3-399号四楼四川恒鑫工程管理咨询有限公司西宁分公司会议室,海东市教育局
9,2018-02-02 09:30,湟中县2017年农村环境综合整治项目,西宁市公共资源交易中心2楼,湟中县环境保护局
10,2018-02-02 10:00,校园文化建设装修改造工程二期,西宁市公共资源交易中心,西宁市第十一中学
11,2018-02-02 10:00,护理专业实训用品、藏医专业实训用品、农经部实训用品采购项目,青海省公共资源交易中心,青海省海南州职业技术学校
12,2018-02-02 14:30,2018年度办公用品采购项目,青海省公共资源交易中心二楼,青海省海南州职业技术学校
13,2018-02-02 14:30,2017年省级第一批切块资金草地生态畜牧业试验区试点合作社股份制改造建设项目,青海省人民政府服务和公共资源交易中心（西宁市城西区西川南路53号文博大厦二楼，具体地点详见当日电子屏显示）,兴海县农牧局
14,2018-02-02 14:30,贵德县人民政府行政服务中心一、二、三层网络布线工程    ,青海省行政服务和公共资源交易中心1号开标室,贵德县人民政府行政服务中心
15,2018-02-02 14:30,玉树市乡镇饮用水水源地水质监测项目（二次） ,西宁市城西区冷湖路青海产品质量检验所六楼,玉树市环境保护和林业局  
16,2018-02-02 14:40,青海交通职业技术学院网络安全等级保护测评项目,投标地址：青海省政府采购电子化平台；开标地址：青海省政府采购中心开标大厅（西宁市城西区黄河路30号）,青海交通职业技术学院
17,2018-02-02 15:00,海南州移民安置局羊曲水电站移民技术技能培训项目,海南州德瑞招投标代理有限公司 （海南州共和县城北新区政和大街海南州行政服务和公共资源交易中心三楼）,海南州移民安置局
18,2018-02-02 15:00,共和县公安局车辆保险采购项目,海南州德瑞招投标代理有限公司（海南州共和县城北新区政和大街海南州公共交易中心三楼）,共和县公安局
19,2018-02-02 15:00,兴海县2018年国家重点生态功能区质量考核检测工作项目（第二次）,海南州行政服务和公共资源交易中心2号开标室,兴海县环境保护和林业局
20,2018-02-02 15:00,同德县2017藏区专项农牧业服务体系建设项目,海南州共和县城北新区政和大街海南州公共交易中心三楼,同德县草原工作站
21,2018-02-02 15:30,2017年海东市农业发展专项资金平安区高原富硒现代农业产业园改造扶持项目,海东市平安区政务服务中心三楼开标室,海东市平安区高原富硒现代农业示范园区管理委员会
22,2018-02-02 15:30,同仁县养老机构无障碍设施改造采购项目（第三次）,青海省行政服务和公共资源交易中心,同仁县民政局
